SNO,FILENAME,TIME_TAKEN,DB_SIZE,AVG_TIME_TAKEN_PER_FILE,AVG_SPACE_TAKEN_PER_FILE
55,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_147.pdf,0.7848,0.2734,0.8224,0.005
56,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_148.pdf,0.7881,0.2773,0.8218,0.005
57,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_149.pdf,0.7784,0.2852,0.8211,0.005
58,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_15.pdf,0.7857,0.2891,0.8205,0.005
59,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_150.pdf,0.7516,0.293,0.8193,0.005
60,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_151.pdf,0.7767,0.2969,0.8186,0.0049
61,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_152.pdf,0.8286,0.3008,0.8187,0.0049
62,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_153.pdf,0.8059,0.3047,0.8185,0.0049
63,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_154.pdf,0.7964,0.3086,0.8182,0.0049
64,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_155.pdf,0.7809,0.3125,0.8176,0.0049
65,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_156.pdf,0.7749,0.3203,0.8169,0.0049
66,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_157.pdf,0.7993,0.3242,0.8167,0.0049
67,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_158.pdf,0.7737,0.3281,0.816,0.0049
68,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_159.pdf,0.8044,0.332,0.8159,0.0049
69,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_16.pdf,0.801,0.3359,0.8157,0.0049
70,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_160.pdf,0.7777,0.3398,0.8151,0.0049
71,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_161.pdf,0.7987,0.3438,0.8149,0.0048
72,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_162.pdf,0.7905,0.3477,0.8145,0.0048
73,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_163.pdf,0.8129,0.3555,0.8145,0.0049
74,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_164.pdf,0.7658,0.3594,0.8139,0.0049
75,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_165.pdf,0.7657,0.3633,0.8132,0.0048
76,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_166.pdf,0.7878,0.3672,0.8129,0.0048
77,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_167.pdf,0.771,0.3711,0.8123,0.0048
78,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_168.pdf,0.747,0.375,0.8115,0.0048
79,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_169.pdf,0.7779,0.3789,0.8111,0.0048
80,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_17.pdf,0.8048,0.3828,0.811,0.0048
81,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_170.pdf,0.7915,0.3906,0.8108,0.0048
82,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_171.pdf,0.8182,0.3945,0.8108,0.0048
83,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_172.pdf,0.7878,0.3984,0.8106,0.0048
84,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_173.pdf,0.8122,0.4062,0.8106,0.0048
85,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_174.pdf,0.7952,0.4102,0.8104,0.0048
86,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_175.pdf,0.7766,0.4141,0.81,0.0048
87,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_176.pdf,0.8037,0.418,0.8099,0.0048
88,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_177.pdf,0.782,0.4219,0.8096,0.0048
89,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_178.pdf,0.7815,0.4297,0.8093,0.0048
90,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_179.pdf,0.792,0.4336,0.8091,0.0048
91,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_18.pdf,0.7566,0.4375,0.8085,0.0048
92,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_180.pdf,0.7918,0.4414,0.8084,0.0048
